handle,rating,class,solvedCount,maxStreak
wlwlsus,1618,4,525,14
wogusqkr0515,1618,5,314,62
xaaleer,1618,5,398,5
ys05010,1618,5,269,14
36david07,1617,4,474,49
5862www,1617,5,270,23
answldjs1836,1617,4,395,29
asdf9744690,1617,4,241,7
bhm7266,1617,4,649,6
chhan2759,1617,4,454,4
codingosol,1617,5,497,25
dlwnsgur0803,1617,4,422,15
dwybaek7,1617,5,405,51
eddyga,1617,5,336,23
elaine610,1617,5,377,13
gasoul,1617,4,357,31
injefol,1617,7,215,1
isbi,1617,4,458,13
isc06114,1617,4,184,6
jeongks94,1617,4,407,3
jich412,1617,5,383,6
jjiho0707,1617,1,137,12
jjinbbang,1617,5,387,10
ksy13001,1617,4,687,16
lsw1205,1617,5,652,10
lys4486,1617,5,297,63
mong7399,1617,4,419,19
navynaev08,1617,3,286,9
potential1205,1617,4,413,126
rlawldbs0911,1617,4,475,12
ryujin0402,1617,4,405,65
s48011,1617,4,421,2
sinno0503,1617,4,258,7
sniz,1617,5,378,26
starkshn,1617,4,355,13
styughjvbn,1617,4,437,206
gtiger1399,1608,0,182,5
head022,1608,5,261,19
hwangsm2386,1608,5,474,200
jp3869,1608,5,378,25
jswself,1608,7,236,15
khj99present,1608,4,1230,15
kimms04,1608,5,388,14
koalakid,1608,5,328,6
korxn2489,1608,4,272,1
ksylka,1608,5,458,300
limss9076,1608,5,390,67
lobby0517,1608,4,410,1
magpie1000,1608,4,570,201
mokalatte,1608,0,134,41
oo1463,1608,4,283,2
planaria,1608,5,354,18
ruddnjswkdwkd,1608,4,266,6
ryong9rrr,1608,4,298,4
s07019,1608,5,383,50
sds2317884,1608,4,601,30
sdy992000,1608,5,130,8
shabby_whale,1608,4,331,62
shzoo,1608,4,425,87
sk3456,1608,5,455,131
sksals4c,1608,5,231,47
soyuz67,1608,4,623,5
ssafyseungbok0890,1608,4,279,31
t9rres,1608,4,385,17
topgun,1608,5,2177,1159
wantingyou,1608,5,325,3
wnsrl4067,1608,4,409,88
yujong_lee,1608,4,293,1
2eeeyj,1607,5,388,121
alex950107,1607,5,383,143
alisonyang,1607,4,496,14
asfg15,1607,5,531,106
aslaring0804,1607,5,554,455
bestban04,1607,5,212,71
bin430,1607,4,264,6
chmir1662,1607,5,323,32
chromacrow,1607,5,618,224
claireku,1607,4,346,3
clearlove7,1607,5,276,141
clint1115,1607,4,276,7
daily1313,1607,4,711,13
dudtkd1221,1607,5,364,11
e7838752,1607,4,674,6
ehgud619,1607,5,413,180
eupppo,1607,4,804,306
hangyeol0315,1607,4,422,14
ejsjdj,1611,3,487,17
guswnddl05,1611,5,327,169
hacanna42,1611,5,543,214
hiidy115,1611,4,473,35
hm_itspro,1611,4,330,3
iy833261,1611,4,483,12
jaewon11111,1611,5,268,12
jiwon0297,1611,4,373,16
kdwtom,1611,4,295,5
kjw2448,1611,5,286,3
kknyapple,1611,4,442,17
kohj5078,1611,4,249,7
kokojong,1611,4,581,200
labhg,1611,4,398,15
leesy0112,1611,5,318,50
limlimlim00,1611,5,399,7
occidere,1611,4,809,2
rkdgudwns,1611,4,1086,257
rladbwls30,1611,4,250,7
se000202,1611,5,657,327
sm8554,1611,5,377,10
statkwon,1611,4,236,13
sunwoo1027,1611,3,379,26
tngtied,1611,4,398,49
whssodi,1611,4,525,35
yunseul,1611,4,523,29
11qqaa,1610,4,308,5
593gmldud,1610,5,240,54
alswkdrb1,1610,4,362,6
americanoisice,1610,5,235,33
bokchi,1610,4,620,43
charlie7276,1610,5,425,22
chasin_star,1610,3,318,5
chj5945,1610,5,240,62
choo5145,1610,5,1280,1024
choppa,1610,4,594,14
con,1610,5,211,9
cviwoqoqpwlkr,1610,4,493,56
daily142857,1610,5,342,9
develroper,1610,5,405,85
dhepd8849,1610,5,265,69
djqtdjehfdkrk,1610,4,845,0
dlduddnjs198,1610,5,234,11
dpwn27,1610,4,201,9
felipuss,1610,4,387,6
fercury,1610,5,328,16
fkqbd95,1610,4,388,1
gnltnwjstk,1610,5,296,11
good10040624,1610,4,252,5
gudrkrsla,1610,4,226,2
changas05,1605,4,475,6
college2007,1605,4,315,1
cromoto,1605,4,376,4
djskal3745,1605,5,388,22
doyen,1605,4,1633,187
gonagi,1605,4,429,11
hwk0602,1605,4,278,10
jhhhkll,1605,4,298,1
jjjyyy7466,1605,4,372,2
jungjimin424,1605,5,203,7
junhok82,1605,4,357,2
kb28,1605,4,336,10
kdb2013,1605,4,394,6
kku64r,1605,5,186,13
ksb5535,1605,4,384,8
ksumin0730,1605,4,361,70
kyo289,1605,3,296,1
lemonl7,1605,4,408,7
meme2367,1605,4,320,3
mizuharaeki,1605,4,373,6
monat96,1605,5,535,21
nowmarine,1605,5,429,15
nyamnymitest,1605,4,381,51
pj1002a,1605,4,470,128
rlatmdcjf9,1605,5,388,22
semote2,1605,5,135,28
seohyun0221,1605,5,255,12
spongging,1605,4,462,16
sujin7837,1605,4,499,79
sunny5875,1605,5,327,111
tig04162,1605,5,407,74
upuforever,1605,5,438,291
vpfmtlsl,1605,5,150,11
walkingjo,1605,5,457,47
yangjinee,1605,4,304,9
yms21888,1605,4,354,1
yukyum,1605,4,559,38
zannisb04,1605,5,305,4
184659,1604,4,328,11
azarzzzz,1604,4,264,6
baegopa_always,1604,4,493,87
bit0316,1604,5,583,286
car991231,1604,4,700,9
cd7934,1604,4,329,6
crayonpie1,1604,5,395,190
doit99,1604,4,566,11
donating,1604,5,205,15
doryeon514,1604,5,224,10
ekgus0813,1604,5,578,151
equilibrated,1604,4,518,8
gacomoria14,1604,4,808,337
gawkat,1604,4,447,5
gmlwlswldbs,1604,4,259,13
gravity101,1604,5,280,23
hjy2885,1604,4,1441,1021
jjhinu104,1604,5,392,22
junippini83,1604,4,448,42
ldh960,1604,5,214,9
pico0530,1604,4,262,19
qorwnsjc,1604,5,320,14
rhkxkd3,1604,5,281,13
ronekali,1604,5,723,446
s1lv3rrud,1604,5,475,256
s2hoon,1604,4,428,6
san9640,1604,4,511,8
seokyung0221,1604,3,328,15
seongmin1117,1604,5,384,10
sgghs160119,1604,4,502,59
shidge98,1604,5,201,5
sohnjunior,1604,4,427,1
tiger1710,1604,4,348,5
timel1109,1604,4,421,34
vhal1309,1604,5,213,6
wndyd9557,1604,4,414,8
y6357,1604,4,580,157
yhya0904,1604,4,810,6
yutak3882,1604,4,632,15
zerouk,1604,5,253,64
0512tini,1603,4,388,7
107esther,1603,3,242,5
abee3417,1603,5,250,35
arinos,1603,5,617,347
canew,1603,5,242,6
ddr4869,1603,5,292,9
dngus1683,1603,5,475,52
ggb05224,1603,4,667,60
gguri4549,1603,5,275,12
goal961,1603,4,482,140
grid2786,1603,5,217,13
gundol97,1603,4,892,39
hanson119,1603,4,296,7
hgkim916,1603,3,498,2
hhyc2,1603,4,462,6
htogether7,1603,4,266,12
ideo,1603,4,376,6
inkyu0103,1603,4,475,8
itsmo1031,1603,4,422,210
j961224,1603,4,229,13
jyihaan2,1603,4,622,1
kinginna,1603,4,304,10
kjb3719,1603,1,521,45
ksj970714,1603,5,269,11
kth4778,1603,4,674,284
leesoft,1603,4,224,12
lycos7560,1603,4,436,141
movingrock99,1603,5,320,9
noxknow,1603,5,214,27
osj1644,1603,5,231,34
park345601,1603,4,380,2
pencake33,1603,5,218,13
qoraudrb22,1603,4,493,15
rhdnjs702,1603,0,262,35
rjsdh15963,1603,5,380,16
rlawodud9394,1603,5,258,9
shlf6673,1603,5,505,23
sktks11,1603,5,437,142
thdusdl,1603,4,269,12
titanium9288,1603,5,468,59
tmdghks9574,1603,3,678,2
uhuru0614,1603,4,597,221
vidigummy,1603,4,374,7
whdals6808,1603,5,427,271
wodyddldl333,1603,5,295,24
younjisang,1603,4,681,59
yutan0565,1603,4,243,43
ajhappy12,1602,5,341,21
answnsdud009,1602,4,418,84
askl1999,1602,5,256,28
bitbyte08,1602,4,599,179
bono039,1602,4,590,19
cjswogywo,1602,4,1284,737
crescmoon,1602,5,215,3
davidson,1602,4,265,13
dbqhgud,1602,5,354,13
dclxxi,1602,4,197,11
devyoo,1602,5,240,11
dkscltks,1602,4,433,148
dn7638,1602,5,283,12
gmasi112,1602,4,370,1
gmelddl514,1602,4,239,6
godgod732,1602,4,264,1
goojaheon,1602,4,298,3
hanskjs9,1602,4,251,7
hwai566877,1602,5,344,6
hye9807,1602,4,380,14
hyundo1995,1602,5,210,15
jdg4661,1602,5,1489,1036
julian3306,1602,5,294,58
junho1226,1602,5,244,8
gj3034,1609,4,1055,175
hhd0212,1609,5,303,7
hjs12345,1609,4,392,9
iambyunghyun,1609,4,467,8
ijdmc2002,1609,4,363,3
jinus7949,1609,5,228,61
junseok0408,1609,5,418,60
khk211820,1609,5,240,7
kjk0407,1609,4,423,6
koreanium119,1609,4,361,27
ks7733,1609,4,250,9
kylew39,1609,4,492,37
lime_lemonade,1609,4,402,48
lsnan421,1609,5,474,13
mathno1,1609,3,250,5
minhyuk5,1609,4,228,5
minwoo9629,1609,4,346,14
msmsms0804,1609,5,254,22
myuju419,1609,4,361,13
paul2314,1609,5,318,105
pjy0616,1609,4,492,4
pks2131,1609,4,371,1
qkrdmstn1014,1609,4,377,11
sak1023,1609,5,380,162
shjj09,1609,4,414,2
skysoon02,1609,6,244,6
strangehoon2,1609,5,400,9
tega1996,1609,4,583,119
typedef,1609,0,161,5
wlgns2234,1609,4,473,48
wpwns0805,1609,5,160,6
yellow2041,1609,5,372,6
yhwon12,1609,5,370,137
youmr101,1609,4,412,2
youwjune,1609,4,388,19
yulmam1,1609,3,283,6
aahhll654,1608,4,353,21
blackiron,1608,3,639,1
chewin9,1608,4,365,3
chlehgns123,1608,4,255,100
cloud0406,1608,4,450,6
dailyavenger,1608,4,240,4
dbehdgns71,1608,4,333,7
devnewbie,1608,4,354,268
dhehdgus804,1608,4,410,1
dlsrud0108,1608,5,226,12
ghddhksduq,1608,5,648,268
glucosei,1608,5,102,8
gmail,1608,5,374,26
godks18,1608,4,851,401
kangsub0827,1602,5,283,11
kesarossss,1602,5,329,8
kimpika,1602,3,306,3
kipper12335,1602,5,300,12
kkomapo,1602,5,250,23
kny8092,1602,4,277,4
limjun92,1602,4,393,4
lsheon0927,1602,4,316,31
nemo00528,1602,4,277,49
nomorelazy,1602,6,154,83
oiatmil,1602,5,423,19
person456,1602,4,516,72
pswaao88,1602,4,454,16
redfox9286,1602,3,329,14
s122s122,1602,4,673,67
sdu07024,1602,4,342,6
sj102300,1602,5,210,6
sjunh8123,1602,5,242,5
ssjhkim76,1602,2,156,3
ssung,1602,4,502,3
superkingyj,1602,4,498,30
uaudgml98,1602,4,330,4
zjvlzld,1602,4,491,14
95bogyeom,1601,4,268,6
afternoon,1601,4,496,2
auaicn,1601,0,208,2
chan0,1601,4,402,8
ckstn0672,1601,5,192,4
cktmdwns604,1601,3,423,40
duckhan,1601,5,295,16
dusk5588,1601,4,518,159
empty6004,1601,4,431,47
gnsta,1601,4,287,3
haptic12,1601,4,268,1
hhhello0507,1601,4,620,36
hodako97,1601,4,402,15
hoo1204,1601,4,496,25
hski0939,1601,4,612,113
htdovad,1601,4,518,99
hyein_kim,1601,4,430,23
hyj2508,1601,4,504,5
iamtrueline,1601,4,1298,14
inho0233,1601,5,293,6
ironhee8005,1601,5,373,20
jinsun23007,1601,5,298,3
jjamtong,1601,0,202,9
jobum,1601,4,329,8
jskimphys,1601,5,140,17
kateking001130,1601,5,288,33
kimrla98,1601,5,373,45
dev_nitro,1591,4,361,8
dnstkd110,1591,4,358,1
first6500,1591,4,223,5
grini25,1591,4,271,3
gsarang1,1591,4,228,2
heehee,1591,4,404,5
kkkj0410,1591,4,249,6
lmbot1ml,1591,4,458,9
neneg273,1591,5,355,1
oops1537,1591,4,419,39
pjk3015,1591,4,422,4
pparkjae0405,1591,4,465,9
qqwwee41,1591,4,338,17
rhqjatn2398,1591,4,442,5
subinj07,1591,4,969,98
theherojho,1591,4,487,17
wjsgyqo123,1591,4,304,0
wodnjs0365,1591,4,304,0
yjh_1118,1591,5,319,34
young09,1591,4,305,3
201701713,1590,4,608,51
chaos0824,1590,4,405,1
dec0dedd,1590,8,85,6
DeliciousOreo,1590,4,319,3
dmzld,1590,4,289,2
dot0112,1590,5,556,12
eugene9m9d,1590,5,282,14
ghks7099,1590,5,359,11
goehd4551,1590,4,520,5
hongjk7777,1590,4,261,128
hsu2016,1590,4,1013,2
jokwere,1590,3,313,31
loy15091,1590,4,335,153
mark3473,1590,4,259,7
njh215,1590,4,660,1
ojy101039,1590,5,277,36
pooiiiu,1590,4,675,308
sjhymk,1590,5,247,200
sugyeongy,1590,4,214,38
syee19,1590,5,259,53
themion,1590,4,446,12
tngkrt2004,1590,4,422,33
wlsdhr0831,1590,4,381,4
yeyeah1,1590,4,196,1
yyang78077,1590,5,428,108
zzirco,1590,4,278,27
asdfasd,1589,3,644,38
brianwogus,1589,4,624,237
cathy77,1589,4,443,19
mined2022,1600,5,181,52
mini0shark,1600,4,223,1
mir0173,1600,5,137,65
paa0609,1600,4,400,4
please875,1600,0,131,8
qazws78941,1600,5,367,5
ratchet,1600,5,270,84
rkdud0925,1600,4,300,5
sbsftf47863,1600,4,490,13
sg_dev,1600,4,346,18
shimkwkr,1600,5,246,10
sjs3326,1600,4,428,11
sm0843,1600,5,237,10
sseon21,1600,4,466,16
syeonna,1600,5,208,11
tlgus31,1600,4,372,122
wans038,1600,2,250,1
withsjh0417,1600,5,454,100
wjddbs2001,1600,5,288,11
wlghd5524,1600,4,605,64
wlsrb7577,1600,4,373,13
ya1179,1600,5,588,226
zxcvting1,1600,4,309,14
1996joon,1599,4,313,11
ad12300,1599,5,391,125
creatorysy,1599,4,203,4
deviltina,1599,3,463,20
dj0998,1599,5,1411,86
dnjsml30,1599,4,1084,761
frogbam,1599,4,382,9
gusdn8554,1599,4,459,11
gwa7417,1599,4,364,7
gwanwoo3849,1599,5,208,15
james1904,1599,3,209,4
jee5907,1599,5,264,12
juice500,1599,3,528,1
kaj4605,1599,4,707,7
khy3496,1599,4,424,11
krong6930,1599,3,153,28
leehj8896,1599,5,200,4
nikeinmyheart,1599,5,200,9
ohhamma,1599,4,490,112
okt1995,1599,4,1064,1
parkshok0,1599,4,399,84
pofer95,1599,4,264,1
quantum2718,1599,4,225,6
qwer1353,1599,5,315,33
rytkd88,1599,4,246,6
sb123s,1599,4,262,2
sy7235,1599,4,274,3
wjdaks915,1597,4,418,14
yoonmihy,1597,4,396,15
yunghun97,1597,4,295,21
akswocho,1596,3,284,1
alsyd024,1596,2,285,1
bllee,1596,4,327,106
dev_reah,1596,4,352,13
dhsys112,1596,4,304,2
eunho7077,1596,4,307,6
gjh020717,1596,5,200,44
gristar,1596,4,250,12
hiimin,1596,4,281,1
jin0721,1596,5,443,168
jk5020kim,1596,3,458,6
kimye702,1596,4,218,27
kywoo26,1596,4,338,8
luvlee21,1596,4,235,2
lws_kahn,1596,4,783,182
min413,1596,4,690,166
net605,1596,4,294,13
ojw970725,1596,4,340,11
ryejin,1596,4,457,52
scif1663,1596,4,217,7
smdtb1998,1596,3,577,231
wlwl1011,1596,4,386,20
yongjuni,1596,4,248,6
ys05059,1596,5,245,23
111sym,1595,5,249,13
algorithm_beginner,1595,4,453,4
calcifer36,1595,5,316,12
dksskgus923,1595,5,160,1
dndhk,1595,0,111,0
doorisopen,1595,4,353,1
ensk26,1595,4,331,12
err2083,1595,4,491,0
gozj3319,1595,3,245,2
heoyu,1595,4,328,7
hgo99,1595,4,302,141
kimmykim_jy,1595,4,221,11
krju13,1595,4,285,2
llllilll,1595,3,590,1
namdoil1812,1595,5,445,8
pch8349,1595,5,398,25
psh990525,1595,4,1141,27
qorwnsmj,1595,4,374,27
qotjsdud67,1595,4,547,9
seowj0710,1595,4,492,25
sodamito2,1595,4,243,10
strain7626,1595,4,399,53
taehun1998,1595,4,375,18
thgid0103,1599,5,296,5
woal1999,1599,4,1164,750
2318ws,1598,4,329,1
as2680,1598,4,370,16
besk0803,1598,4,328,5
ckjin95,1598,4,499,128
devtaemin,1598,4,528,9
dongju0628,1598,4,420,38
ehj1107,1598,4,288,12
exito,1598,4,191,1
gofkdvjvl,1598,4,409,4
henryhee12,1598,4,253,15
joo1798,1598,4,273,13
jwug0821,1598,4,302,7
kimhj4485,1598,4,559,19
mk43313,1598,4,532,7
rhqnrdl625,1598,5,270,7
sangminnim,1598,4,443,33
sawol,1598,4,535,59
sharon0717,1598,3,226,7
soseuleaf,1598,5,357,6
tjddyd1565,1598,4,341,8
tmdlas369,1598,4,511,365
woals0512,1598,4,387,51
yeeybook,1598,4,333,6
yoyoyo5639,1598,5,366,12
zouamare,1598,4,284,89
97jaehak,1597,4,503,1
apxjvm,1597,4,510,180
asd77777,1597,4,301,14
dewchae45,1597,4,438,84
dltmd202,1597,4,238,8
dnfnfn14,1597,4,580,196
dnjs0236,1597,4,766,17
floress,1597,5,261,8
fluorine,1597,4,498,54
gomamon,1597,4,317,3
hogumachu,1597,5,495,8
jijikim,1597,4,582,123
jjw981210,1597,4,297,6
kimhyun98,1597,4,361,3
lalua456,1597,5,259,6
localgaji,1597,5,216,14
mh97888,1597,5,200,0
mssjhyun,1597,4,376,37
not,1597,3,380,6
sobu0715,1597,4,577,3
soyalan,1597,4,317,2
suyoun049,1597,4,528,55
test7579,1597,4,248,12
min050820,1593,5,214,3
naa821,1593,4,393,1
qwe142536,1593,4,434,103
syghkd,1593,4,332,95
tg8685,1593,4,421,35
theperz1,1593,4,477,40
tjehdgns0925,1593,4,264,1
toki0411,1593,4,555,12
wildfire,1593,4,494,64
ykj0202,1593,4,398,1
1223v,1592,4,406,17
acaan,1592,0,267,8
akb0331,1592,4,327,19
apple_win,1592,4,431,11
asdf016182,1592,4,323,170
bgy3362,1592,4,396,9
command_yong,1592,4,396,3
debuglog,1592,4,370,1
devjgkim,1592,4,367,5
dgh06102,1592,5,242,4
dlwngjs00,1592,4,495,10
dngp93,1592,4,293,57
faker,1592,4,372,1
fosong98,1592,5,253,9
gkscodus11,1592,4,447,1
gnsgnsek,1592,4,193,1
ian666,1592,4,474,366
jung8508,1592,4,282,4
kaffu,1592,4,427,187
kdm97912,1592,4,573,412
kimmk7375,1592,4,417,106
kkccmm1202,1592,4,481,5
koxogml,1592,4,368,32
laugh4mile,1592,4,397,6
m020202,1592,5,278,6
pakachu,1592,4,282,29
rhljh201,1592,4,348,13
rkarud1234,1592,4,536,11
rosa7536,1592,4,325,6
rso1129,1592,4,407,5
sjho0210,1592,5,335,10
smc5720,1592,4,458,11
snailgod86,1592,4,1068,347
superpenguin,1592,4,325,3
y123on,1592,0,283,2
youngkwon02,1592,5,208,19
abcd5120,1591,4,370,11
albireo3754,1591,4,333,8
bbookng,1591,5,348,124
billygoat97,1591,4,513,6
chemwang,1589,4,366,15
cyho99,1589,4,327,5
ddol9,1589,4,375,6
duk1003,1589,4,460,9
earlgrey02,1589,5,342,9
ehs0525,1589,4,310,8
gongmeda,1589,4,457,101
heejun2822,1589,4,553,176
hong7498kim,1589,3,412,6
hys6078,1589,4,604,20
imsongj,1589,4,247,6
innocent61,1589,4,253,7
jdh6036,1589,4,297,35
jhp2060,1589,4,300,1
jrucl2d,1589,4,326,4
khr519,1589,4,232,35
kimta2hwan,1589,4,954,116
kimtaeho369,1589,4,779,37
klwon940,1589,4,258,21
lewis17,1589,5,277,125
lst1995,1589,4,266,5
lyj0612,1589,4,357,15
nanta0112,1589,4,503,11
nugoolee20,1589,4,188,7
nuri3136,1589,4,246,36
o3od3d,1589,3,242,8
oeccsy,1589,5,302,28
pinkytime,1589,4,418,13
pj5016,1589,4,315,10
pliot1017,1589,4,288,18
redbull11,1589,4,318,15
reiy0902,1589,4,299,5
riverboy94,1589,4,331,48
shinabro0131,1589,4,497,34
threebr123,1589,4,435,42
wak8835,1589,4,485,8
ww0111,1589,4,387,6
youbeen,1589,4,404,14
0_in,1588,4,352,5
cano721,1588,4,362,24
choi1087,1588,4,370,14
ckdgns6078,1588,5,184,6
clearrworld,1588,4,364,25
cswon06,1588,0,147,5
ehtjd1209,1588,4,569,106
eunsung_dev,1588,4,527,60
gjlim1084,1588,4,1096,11
gss4530,1588,3,325,1
heboja99,1588,4,525,14
hgu219402,1588,4,579,15
tjdals6695,1595,4,424,6
ubermen5ch,1595,4,333,89
wumusill,1595,4,412,14
yh9468,1595,4,341,9
0at_x,1594,4,428,172
angly97,1594,4,281,14
cjstkd2866,1594,5,295,7
cju1998,1594,4,606,95
greenblatt,1594,0,245,4
hspark8494,1594,3,896,56
jhc786,1594,5,1150,852
jinyoung3859,1594,4,331,6
jusuk208,1594,4,349,5
kimyongjun3097,1594,2,316,6
kskw20,1594,5,385,74
latter2005,1594,1,166,1
llsg822,1594,4,332,3
lomotos10,1594,4,708,1
mevol,1594,4,256,5
normit,1594,1,390,2
ojj1123,1594,4,357,7
onenewarm,1594,5,153,5
oo0617,1594,4,485,69
philipwq12,1594,5,168,9
phsk71,1594,4,486,33
presso,1594,4,398,134
rgkim1110,1594,5,322,5
rhks33rhs,1594,5,256,6
rkwmdk,1594,4,278,69
sarna,1594,4,430,1
sss02030,1594,4,284,32
ssundong0_0,1594,4,1023,457
woneeeya,1594,4,503,23
yad05020,1594,5,377,64
ygs3004,1594,5,261,7
yyj8771,1594,5,558,144
yyytae0,1594,4,570,6
1212azaz,1593,4,304,31
alswo5419,1593,4,313,13
chm2006,1593,4,390,31
dae0102528,1593,3,350,78
gomcool17,1593,4,258,7
hkk3626,1593,4,319,11
hyeonzi,1593,5,302,11
hyeseon97,1593,4,413,11
jaypae95,1593,4,378,10
jerry020822,1593,4,425,83
jjyoyo83,1593,5,493,220
livebylee,1593,4,240,83
lyw0324,1593,5,374,32
hongxipyo,1588,4,559,269
jea07166,1588,5,212,33
kimkim200011,1588,4,293,13
kumju0723,1588,4,237,110
leesk3187,1588,4,303,31
leessunny95,1588,5,365,6
lmistd0322,1588,5,330,64
mjj,1588,4,615,44
moonjinh,1588,4,528,20
naranggesaida,1588,5,729,108
ponyong,1588,4,265,1
pparkddo,1588,4,411,19
rbud613,1588,4,331,8
rlagusgh,1588,4,1022,47
rue,1588,5,320,10
skscp223,1588,4,370,1
smigyeong,1588,4,323,24
spig0126,1588,4,467,5
sy980402,1588,5,185,6
tae77777,1588,4,358,30
whdmsdlf,1588,5,278,15
wjddms206,1588,4,539,1
wjstp14,1588,4,345,36
wldnjs1123,1588,5,377,6
wsh096,1588,4,372,118
xxnonamexx,1588,4,1001,121
yuchan,1588,5,248,18
zhaoben,1588,5,453,122
ziyun1612,1588,4,318,7
022686s,1587,5,434,95
1202yjk,1587,4,795,557
2645n6,1587,0,171,2
96rlarms,1587,3,368,4
antler07,1587,4,299,3
chohs0514,1587,5,248,15
cwj980119,1587,5,241,19
dnzma13,1587,5,282,96
dongu,1587,4,385,5
heesuk9898,1587,4,285,7
jaemin8852,1587,4,457,2
jaesin22,1587,4,641,33
jeongye001,1587,4,404,10
jinho9610,1587,4,301,5
jseo7913,1587,5,250,9
just_junyan,1587,4,332,8
kkhh9811,1587,5,423,30
leleluv1122,1587,4,429,1
nkim40181,1587,4,384,60
paki1019,1587,4,454,1
qkrdnjsrl,1587,4,595,246
ryubb,1587,5,536,26
second2820,1587,4,392,5
skyladder88,1587,4,285,12
songheew,1587,4,683,49
soo0103,1587,4,418,2
spabit,1587,5,106,3
stinger0614,1587,4,335,5
sumini0516,1587,4,543,5
teepij,1587,4,328,8
tjsgh1512,1587,4,339,16
whgkstmf,1587,5,320,41
zooleg,1587,4,450,11
0106658lee,1586,4,345,2
4545abc,1586,4,450,7
adngjun,1586,3,180,6
citizen9616,1586,4,667,10
cms2207,1586,4,249,1
dbsghl123,1586,4,354,57
ehddus416,1586,5,272,9
ghwn1224,1586,4,617,15
gkagmldnjs,1586,4,207,5
jeomn9,1586,4,263,4
johbrain,1586,4,760,509
jyt1107,1586,5,361,43
kc1595,1586,5,353,7
ksuny1013,1586,4,376,5
kyckjh,1586,4,429,183
llllll18,1586,4,265,40
mistake03,1586,4,448,7
nochedeuyuni,1586,4,250,7
okc0202,1586,4,316,9
ororwnstlr,1586,4,893,222
protoseo,1586,4,532,1
redsiwon,1586,4,414,10
river1345,1586,4,2518,266
rnjstpwls,1586,4,353,5
rurain7763,1586,4,431,5
solgreen09,1586,4,352,3
srlee96,1586,4,228,2
sskimin4,1586,4,320,1
syt07100,1586,5,223,27
wjlee612,1586,4,234,6
wjygogogo,1586,4,304,27
wngksdma123,1586,4,299,8
wnstlr0394,1586,4,409,71
0905hkh,1585,5,253,23
back4740,1585,4,494,34
choiys0513,1585,4,322,3
chungdk1993,1585,4,378,0
dwbyun21,1585,4,376,8
exesea12,1585,4,336,8
goldkevin,1585,4,247,5
hidolee,1585,4,710,53
hsw7703,1585,4,440,67
iddsi,1585,4,327,6
jwjin95,1585,1,219,7
jyj1206,1585,4,591,67
kimsy0424,1585,4,344,54
kjms0820,1585,4,564,7
kke712,1585,4,303,11
kongm728,1585,4,316,48
lesw1012,1585,4,714,201
minkyung,1585,4,439,7
osmin625,1585,5,264,131
pf7,1585,4,155,1
qjxltm,1585,4,404,11
rbgksqkr,1585,4,519,163
rudejr3459,1585,4,309,1
wjdgur778,1585,4,302,5
wnstj1704,1585,4,658,12
xodms0309,1585,4,435,9
ycy526,1585,4,404,122
ahsldrmffhfl78324592,1584,4,586,88
gmail3728,1584,4,347,15
hjk0761,1584,4,432,12
holljjak2000,1584,4,447,87
hsch19,1584,4,598,531
jnn6576,1584,4,269,18
johnjeong07,1584,5,275,14
joon11132,1584,4,387,6
kimwlsgud,1584,4,260,24
lhs8701,1584,5,515,214
lucymayon1000,1584,4,330,3
nahee2253,1584,4,394,35
o3ohanas,1584,4,323,259
pagefault,1584,4,345,1
psw5274,1584,4,343,2
rhacnddl,1584,4,240,3
scientist,1584,4,1336,1321
soeunsense7,1584,4,308,96
solwoon,1584,4,343,5
thoon990916,1584,5,113,1
younghyun753,1584,5,320,19
younprize,1584,4,592,282
2_suchan,1583,5,499,148
9025697,1583,4,318,6
anwlro0212,1583,4,563,160
ckm0207,1583,4,516,302
claire9162,1583,4,388,2
con99,1583,4,621,114
whitekim,1581,4,571,116
witzkid,1581,4,375,4
ywcheong,1581,5,225,115
baemung,1580,4,276,7
blingstar513,1580,4,333,19
bluepaun,1580,2,273,0
chayhyeon,1580,4,268,5
chl378900,1580,4,520,59
dohyung08,1580,5,480,256
edison1304,1580,3,212,11
eel0511,1580,4,328,9
facade0409,1580,4,329,35
garamgim,1580,4,351,12
ghks2047,1580,4,344,9
i0692631,1580,4,547,27
jdrg,1580,4,414,12
jeon9825,1580,4,343,7
jeongtaewoo,1580,4,989,12
jjh6713,1580,4,274,7
juwonju,1580,4,374,6
kj95287190,1580,4,278,9
lees741,1580,5,230,4
letgodchan0,1580,4,406,163
lilywhite,1580,4,208,1
linda0123,1580,4,325,6
llewrog,1580,4,252,28
mark1106,1580,4,471,26
minseok_dev,1580,4,509,8
olnuyh,1580,4,331,30
parkhwijoo,1580,4,906,729
pjw5521,1580,4,302,10
psjoyo86,1580,5,241,20
rmagur1203,1580,5,259,10
scw1544,1580,4,296,1
sungku2757,1580,4,389,9
taek0622,1580,4,1055,574
tata153,1580,4,475,11
tjddn3507,1580,5,149,4
tonypark7277,1580,4,167,6
trimind,1580,4,532,1
1_0,1579,4,283,9
chljidn,1579,4,274,10
chrishoho,1579,4,312,42
dbsalvl123,1579,4,344,9
dlqudtjs922,1579,4,547,252
don042186,1579,4,441,127
gagu1999,1579,4,669,42
gunwoo7019,1579,4,344,24
guswns3371,1579,4,262,7
haung921209,1579,4,681,1
fkakd1205,1583,4,422,13
ghonman2,1583,4,244,6
godeho01,1583,4,446,7
hjs0410,1583,4,387,27
